route_id,service_id,trip_id,direction_id,block_id,shape_id
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1850_Feb 10 2016  2:57:34:410PM_20170901_99991231_20170404_99991231_4","1850_Feb 10 2016  2:57:34:410PM_20170901_99991231_20170404_99991231_4","0","","03I - WVSU to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1850_Feb 10 2016  2:57:34:410PM_20170901_99991231_20170404_99991231_6","1850_Feb 10 2016  2:57:34:410PM_20170901_99991231_20170404_99991231_6","0","","03I - WVSU to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1915_Mar  2 2016 11:02:01:533AM_20170901_99991231_20170405_99991231_5","1915_Mar  2 2016 11:02:01:533AM_20170901_99991231_20170405_99991231_5","1","","03I - Transit Mall to WVSU_Apr  4 2017 10:52:33:437AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1915_Mar  5 2016  4:48:32:757PM_20170901_99991231_20170425_99991231_7","1915_Mar  5 2016  4:48:32:757PM_20170901_99991231_20170425_99991231_7","1","","03N - Transit Mall to Mardi Gras (No Bridge)_Apr 17 2017  2:28:58:073PM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2024_Mar  5 2016  4:52:58:933PM_20170901_99991231_20170404_99991231_7","2024_Mar  5 2016  4:52:58:933PM_20170901_99991231_20170404_99991231_7","0","","03N - Mardi Gras Resort to Transit Mall (No SAS)"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2215_Mar  2 2016  9:49:49:603AM_20170901_99991231_20170404_99991231_3","2215_Mar  2 2016  9:49:49:603AM_20170901_99991231_20170404_99991231_3","0","","03N - Nitro Marketplace (No SAS) to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2215_Mar  2 2016  9:49:49:603AM_20170901_99991231_20170530_99991231_2","2215_Mar  2 2016  9:49:49:603AM_20170901_99991231_20170530_99991231_2","0","","03N - Nitro Marketplace (No SAS) to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2242_20170901_99991231_20170404_99991231_3","2242_20170901_99991231_20170404_99991231_3","0","","03I - WVSU to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2315_Mar 14 2016  3:04:20:407PM_20170901_99991231_20170405_99991231_6","2315_Mar 14 2016  3:04:20:407PM_20170901_99991231_20170405_99991231_6","1","","03N - Transit Mall to Mardi Gras Resort_Apr  4 2017 11:05:27:110AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2315_Mar 14 2016  3:04:20:407PM_20170901_99991231_20170530_99991231_2","2315_Mar 14 2016  3:04:20:407PM_20170901_99991231_20170530_99991231_2","1","","03N - Transit Mall to Mardi Gras Resort_Apr  4 2017 11:05:27:110AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_659_20170901_99991231_20170405_99991231_5","659_20170901_99991231_20170405_99991231_5","1","","03N - Capitol Complex to Mardi Gras Resort_Apr  4 2017 11:03:03:050AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2315_Mar  5 2016  5:02:36:690PM_20170901_99991231_20170425_99991231_7","2315_Mar  5 2016  5:02:36:690PM_20170901_99991231_20170425_99991231_7","1","","03N - Transit Mall to Mardi Gras (No Bridge)_Apr 17 2017  2:28:58:073PM"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T10:09:01_20170901_99991231_20170404_99991231_6","#0_2016-02-08T10:09:01_20170901_99991231_20170404_99991231_6","1","","08 - Transit Mall to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T10:13:44_20170901_99991231_20170404_99991231_4","#0_2016-02-08T10:13:44_20170901_99991231_20170404_99991231_4","1","","08 - Transit Mall to Sissonville"
