route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
R12,weekdays,12out_odell_1,Elmore,,0,,12_Out,1
R12,weekdays,12out_odell_2,Elmore,,0,,12_Out,1
R12,weekdays,12out_odell_3,Elmore,,0,,12_Out,1
R12,weekdays,12out_full_1,Elmore,,0,,12_Out,1
R12,weekdays,12out_full_2,Elmore,,0,,12_Out,1
R12,weekdays,12out_full_3,Elmore,,0,,12_Out,1
R12,weekdays,12out_full_4,Elmore,,0,,12_Out,1
R12,weekdays,12in_bigley_1,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_bigley_2,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_bigley_3,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_bigley_4,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_full_1,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_full_2,Laidley Transit Mall,,1,,12_In,1
R12,weekdays,12in_full_3,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12out_odell_4,Elmore,,0,,12_Out,1
R12,saturdays,12out_full_5,Elmore,,0,,12_Out,1
R12,saturdays,12out_char_1,Elmore,,0,,12_Out,1
R12,saturdays,12out_char_2,Elmore,,0,,12_Out,1
R12,saturdays,12out_char_3,Elmore,,0,,12_Out,1
R12,saturdays,12out_char_4,Elmore,,0,,12_Out,1
R12,saturdays,12out_char_5,Elmore,,0,,12_Out,1
R12,saturdays,12in_full_4,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_elmore_1,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_char_1,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_char_2,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_char_3,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_char_4,Laidley Transit Mall,,1,,12_In,1
R12,saturdays,12in_char_5,Laidley Transit Mall,,1,,12_In,1
R13,weekdays,13out_1,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_2,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_3,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_4,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_5,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_6,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_7,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_8,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_9,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_10,Beech Ave,,0,,13_Out,1
R13,weekdays,13out_11,Beech Ave,,0,,13_Out,1
R13,weekdays,13in_1,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_2,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_3,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_4,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_5,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_6,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_7,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_8,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_9,Laidley Transit Mall,,1,,13_In,1
R13,weekdays,13in_10,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13out_12,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_13,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_14,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_15,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_16,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_17,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_18,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_19,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_20,Beech Ave,,0,,13_Out,1
R13,saturdays,13out_21,Beech Ave,,0,,13_Out,1
R13,saturdays,13in_11,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_12,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_13,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_14,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_15,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_16,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_17,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_18,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_19,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_20,Laidley Transit Mall,,1,,13_In,1
R13,saturdays,13in_21,Laidley Transit Mall,,1,,13_In,1
R15,weekdays,15am_oak_1,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_1,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_2,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_3,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_4,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_5,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_6,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15am_7,South Hills,,0,,15_Loop_AM,1
R15,weekdays,15pm_1,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_2,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_3,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_4,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_5,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_6,South Hills,,0,,15_Loop,1
R15,weekdays,15pm_7,South Hills,,0,,15_Loop,1
R15,saturdays,15am_oak_2,South Hills,,0,,15_Loop_AM,1
R15,saturdays,15am_8,South Hills,,0,,15_Loop_AM,1
R15,saturdays,15am_9,South Hills,,0,,15_Loop_AM,1
R15,saturdays,15am_10,South Hills,,0,,15_Loop_AM,1
R15,saturdays,15pm_8,South Hills,,0,,15_Loop,1
R15,saturdays,15pm_9,South Hills,,0,,15_Loop,1
R15,saturdays,15pm_10,South Hills,,0,,15_Loop,1
R15,saturdays,15pm_11,South Hills,,0,,15_Loop,1
R15,saturdays,15pm_12,South Hills,,0,,15_Loop,1
R15,saturdays,15pm_13,South Hills,,0,,15_Loop,1
R16,weekdays,16out_1,Alcoa,,0,,16_Out,1
R16,weekdays,16out_2,Alcoa,,0,,16_Out,1
R16,weekdays,16out_3,Alcoa,,0,,16_Out,1
R16,weekdays,16out_4,Alcoa,,0,,16_Out,1
R16,weekdays,16out_5,Alcoa,,0,,16_Out,1
R16,weekdays,16out_6,Alcoa,,0,,16_Out,1
R16,weekdays,16out_7,Alcoa,,0,,16_Out,1
R16,weekdays,16in_1,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_2,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_3,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_4,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_5,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_6,Laidley Transit Mall,,1,,16_In,1
R16,weekdays,16in_7,Laidley Transit Mall,,1,,16_In,1
R16,saturdays,16out_8,Alcoa,,0,,16_Out,1
R16,saturdays,16out_9,Alcoa,,0,,16_Out,1
