trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3456-167-164,,,230,14,3,3,
3456-167-164,13:03:00,13:03:00,70,15,0,0,
3456-167-164,,,229,20,3,3,
3456-167-164,13:06:00,13:06:00,69,30,0,0,
3456-167-164,,,228,35,3,3,
3456-167-164,13:10:00,13:10:00,68,40,0,0,
3456-167-164,,,228,45,3,3,
3456-167-164,13:16:00,13:16:00,69,50,0,0,
3456-167-164,,,229,55,3,3,
3456-167-164,13:18:00,13:18:00,70,60,0,0,
3456-167-164,,,230,61,3,3,
3456-167-164,,,231,62,3,3,
3456-167-164,13:20:00,13:20:00,65,70,0,0,
3456-167-164,,,232,72,3,3,
3456-167-164,,,233,73,3,3,
3456-167-164,,,234,74,3,3,
3456-167-164,,,235,75,3,3,
3456-167-164,,,236,76,3,3,
3456-167-164,13:24:00,13:24:00,67,80,0,0,
3456-167-164,,,237,82,3,3,
3456-167-164,,,235,83,3,3,
3456-167-164,,,234,84,3,3,
3456-167-164,,,233,87,3,3,
3456-167-164,,,232,88,3,3,
3456-167-164,13:35:00,13:35:00,66,90,0,0,
3457-167-164,14:00:00,14:00:00,65,10,0,0,
3457-167-164,,,231,13,3,3,
3457-167-164,,,230,14,3,3,
3457-167-164,14:03:00,14:03:00,70,15,0,0,
3457-167-164,,,229,20,3,3,
3457-167-164,14:06:00,14:06:00,69,30,0,0,
3457-167-164,,,228,35,3,3,
3457-167-164,14:10:00,14:10:00,68,40,0,0,
3457-167-164,,,228,45,3,3,
3457-167-164,14:16:00,14:16:00,69,50,0,0,
3457-167-164,,,229,55,3,3,
3457-167-164,14:18:00,14:18:00,70,60,0,0,
3457-167-164,,,230,61,3,3,
3457-167-164,,,231,62,3,3,
3457-167-164,14:20:00,14:20:00,65,70,0,0,
3457-167-164,,,232,72,3,3,
3457-167-164,,,233,73,3,3,
3457-167-164,,,234,74,3,3,
3457-167-164,,,235,75,3,3,
3457-167-164,,,236,76,3,3,
3457-167-164,14:24:00,14:24:00,67,80,0,0,
3457-167-164,,,237,82,3,3,
3457-167-164,,,235,83,3,3,
3457-167-164,,,234,84,3,3,
3457-167-164,,,233,87,3,3,
3457-167-164,,,232,88,3,3,
3457-167-164,14:35:00,14:35:00,66,90,0,0,
3458-167-164,15:00:00,15:00:00,65,10,0,0,
3458-167-164,,,231,13,3,3,
3458-167-164,,,230,14,3,3,
3458-167-164,15:03:00,15:03:00,70,15,0,0,
3458-167-164,,,229,20,3,3,
3458-167-164,15:06:00,15:06:00,69,30,0,0,
3458-167-164,,,228,35,3,3,
3458-167-164,15:10:00,15:10:00,68,40,0,0,
3458-167-164,,,228,45,3,3,
3458-167-164,15:16:00,15:16:00,69,50,0,0,
