shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,d_between_pts_mi
HAT,39.160645,-80.048782,730,6.94,0.00
HAT,39.160645,-80.048782,735,6.94,0.00
HAT,39.160728,-80.048508,740,6.96,0.02
HAT,39.160728,-80.048508,745,6.96,0.00
HAT,39.160187,-80.046844,750,7.07,0.12
HAT,39.160027,-80.0467,755,7.09,0.01
HAT,39.159443,-80.046471,760,7.10,0.02
HAT,39.158955,-80.045967,765,7.14,0.04
HAT,39.158756,-80.045914,770,7.14,0.00
HAT,39.157803,-80.045883,775,7.15,0.01
HAT,39.15683,-80.046165,780,7.18,0.02
HAT,39.156654,-80.046173,785,7.18,0.00
HAT,39.156467,-80.046059,790,7.19,0.01
HAT,39.155876,-80.045334,795,7.24,0.05
HAT,39.155434,-80.044937,800,7.27,0.03
HAT,39.154594,-80.044502,805,7.30,0.03
HAT,39.153248,-80.044136,810,7.33,0.03
HAT,39.152863,-80.044083,815,7.33,0.01
HAT,39.152863,-80.044083,820,7.33,0.00
HAT,39.153183,-80.042526,825,7.44,0.11
HAT,39.153278,-80.041367,830,7.52,0.08
HAT,39.152447,-80.039925,835,7.62,0.10
HAT,39.152447,-80.039925,840,7.62,0.00
HAT,39.152946,-80.039444,845,7.66,0.03
